danm_id,commercial_name,active,inscription_date,registry_number,nombre_comercial_second,status,formula,active_ingredient,concentration,pharmaceutical_form_name,pharmaceutical_company,level_price,range_price,minimum_price_presentation,maximum_price_presentation,ranges_prices
5902,SOLUCION LOKAL SOLUCION,A,1971/04/28,5902,SOLUCION LOKAL SOLUCION,A,ACIDO SALICILICO 0.07 g. + HEXACLOROFENO 0.1 g. + METAFENODIOL 0.08 g.,ACIDO SALICILICO + HEXACLOROFENO + METAFENODIOL,0.07 g. + 0.1 g. + 0.08 g.,SOLUCION,LABORATORIOS FALMAR,0.08,0.08,9.34,9.34,$9.34 - $9.34
5907,FOSFO B-12 TABLETAS,A,1971/04/20,5907,FOSFO B-12 TABLETAS,A,CIANOCOBALAMINA 50 mcg. + TIAMINA MONONITRATO 300 mg. + FOSFATO DE CALCIO 175 mg.,CIANOCOBALAMINA + TIAMINA MONONITRATO + FOSFATO DE CALCIO,50 mcg. + 300 mg. + 175 mg.,TABLETA,LABORATORIOS COFASA,0.2,0.2,8.62,70.66,$8.62 - $70.66
5954,HIPREX 1 g TABLETAS,A,1971/06/08,5954,HIPREX 1 g TABLETAS,A,HIPURATO DE METENAMINA 1 g.,HIPURATO DE METENAMINA,1 g.,TABLETAS,3M HEALTH CARE LIMITED,0.96,0.96,19.3,19.3,$19.30 - $19.30
5969,OTAN SOLUCION OTICA,A,1971/06/08,5969,OTAN SOLUCION OTICA,A,TETRACAINA CLORHIDRATO 1 g. + UREA 5 g. + NITROFURAZONA 225 mg.,TETRACAINA CLORHIDRATO + UREA + NITROFURAZONA,1 g. + 5 g. + 225 mg.,SOLUCION OTICA,LABORATORIO ANCALMO,0.48,0.48,7.25,7.25,$7.25 - $7.25
6044,HIRUDOID 0.3% GEL,A,1971/07/20,6044,HIRUDOID 0.3% GEL,A,POLIESTER MUCOPOLISACARIDO DEL ACIDO SULFURICO (ORGANO-HEPARINOIDE LUITPOLD) 0.3 g.,POLIESTER MUCOPOLISACARIDO DEL ACIDO SULFURICO (ORGANO-HEPARINOIDE LUITPOLD),0.3 g.,GEL,CIFARMA S.A.C.,0.38,0.38,15.15,15.15,$15.15 - $15.15
6131,GRAVOL 50 mg/mL SOLUCION I.M.,A,1971/08/31,6131,GRAVOL 50 mg/mL SOLUCION I.M.,A,Dimenhidrinato 50 mg.,Dimenhidrinato,50 mg.,SOLUCION,ROTEXMEDICA GMBH ARZNEIMITTEL-WERK,,,,,
6132,NORFEDRINE  60 mg / 2 mL SOLUCION INYECTABLE,A,1971/07/20,6132,NORFEDRINE  60 mg / 2 mL SOLUCION INYECTABLE,A,Orfenadrina citrato 60 mg. + Orfenadrina citrato 60 mg.,Orfenadrina citrato + Orfenadrina citrato,60 mg. + 60 mg.,SOLUCION INYECTABLE,"LABORATORIOS ARSAL, S.A. DE C.V.",,,,,
6205,THROMBOCID POMADA,A,1971/04/20,6205,THROMBOCID POMADA,A,PENTOSANO POLISULFATO SODIO 0.1 g.,PENTOSANO POLISULFATO SODIO,0.1 g.,POMADA,LABORATORIO LACER S.A.,0.21,0.21,7.34,10.77,$7.34 - $10.77
6274,TRIMETOSE JARABE,A,1971/11/16,6274,TRIMETOSE JARABE,A,Clorfeniramina Maleato 1 mg. + CLORURO DE AMONIO 100 mg. + Dextrometorfano Bromhidrato 3.25 mg. + Mentol 0.5 mg. + Clorhidrato de fenilefrina 2.5 mg. + Guaifenesina 90 mg.,Clorfeniramina Maleato + CLORURO DE AMONIO + Dextrometorfano Bromhidrato + Mentol + Clorhidrato de fenilefrina + Guaifenesina,1 mg. + 100 mg. + 3.25 mg. + 0.5 mg. + 2.5 mg. + 90 mg.,JARABE,LABORATORIOS VIJOSA,0.02,0.02,3.66,3.86,$3.66 - $3.86
6294,PROGESTIN 100 (100 mg/2 mL) SOLUCION INYECTABLE,A,1971/12/07,6294,PROGESTIN 100 (100 mg/2 mL) SOLUCION INYECTABLE,A,Progesterona 100 mg.,Progesterona,100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,1.22,1.22,3.58,3.73,$3.58 - $3.73
6306,FOSFOTONIC CON HIERRO Y VITAMINA B-12 ELIXIR,A,1972/01/11,6306,FOSFOTONIC CON HIERRO Y VITAMINA B-12 ELIXIR,A,GLICEROFOSFATO DE CALCIO 0.014 g. + Hierro amoniacal citrato 0.0625 g. + VITAMINA B12 (CIANOCOBALAMINA) 5 mcg. + GLICEROFOSFATO DE MANGANESO 0.0025 g. + TIAMINA CLORHIDRATO(VITAMINA B1 CLORHIDRATO) ESTANDAR 0.75 mg. + VITAMINA B2 (RIVOFLAVINA) 0.25 mg.,GLICEROFOSFATO DE CALCIO + Hierro amoniacal citrato + VITAMINA B12 (CIANOCOBALAMINA) + GLICEROFOSFATO DE MANGANESO + TIAMINA CLORHIDRATO(VITAMINA B1 CLORHIDRATO) ESTANDAR + VITAMINA B2 (RIVOFLAVINA),0.014 g. + 0.0625 g. + 5 mcg. + 0.0025 g. + 0.75 mg. + 0.25 mg.,ELIXIR,"LABORATORIOS CAROSA, S.A. DE C.V.",0.48,0.48,5.43,9.2,$5.43 - $9.20
6318,FENOBARBITAL 0.1 g TABLETA,A,1971/12/14,6318,FENOBARBITAL 0.1 g TABLETA,A,FENOBARBITAL  0.1 g.,FENOBARBITAL ,0.1 g.,TABLETA,"LABORATORIOS ARSAL, S.A. DE C.V.",,,,,
6321,VIRO-GRIP VIJOSA SOLUCION INYECTABLE,A,1972/01/11,6321,VIRO-GRIP SOLUCION INYECTABLE,A,HIDROCLORURO DE MOROXIDINA (ABOB) 500 mg. + FENILEFRINA HCl 3 mg. + METAMIZOL SODICO 1000 mg. + CLORFENIRAMINA MALEATO 8 mg.,HIDROCLORURO DE MOROXIDINA (ABOB) + FENILEFRINA HCl + METAMIZOL SODICO + CLORFENIRAMINA MALEATO,500 mg. + 3 mg. + 1000 mg. + 8 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.5,0.5,2.52,2.52,$2.52 - $2.52
6322,NOMESTROL  (50/5 mg/2 mL)  SOLUCIÓN INYECTABLE,A,1972/01/11,6322,NOMESTROL  (50/5 mg/2 mL)  SOLUCIÓN INYECTABLE,A,BENZOATO DE ESTRADIOL 5 mg. + Progesterona 50 mg.,BENZOATO DE ESTRADIOL + Progesterona,5 mg. + 50 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,1.81,1.81,4.56,5.54,$4.56 - $5.54
6325,GRAVOL LIQUIDO 15 mg/5 mL SOLUCION ORAL,A,1971/12/07,6325,GRAVOL LIQUIDO 15 mg/5 mL SOLUCION ORAL,A,Dimenhidrinato 15 mg.,Dimenhidrinato,15 mg.,SOLUCION ORAL,CHURCH & DWIGHT CANADA CORP.,0.12,0.12,9.29,9.29,$9.29 - $9.29
6372,SUERO ORAL VITAMINADO GRANULADO,A,1972/12/07,6372,SUERO ORAL VITAMINADO GRANULADO,A,TIAMINA CLORHIDRATO 0.006 g. + CLORURO DE POTASIO 0.375 g. + Nicotinamida 0.015 g. + CITRATO TRISODICO DIHIDRATADO  0.725 g. + CLORURO DE SODIO 0.875 g. + Riboflavina 0.001 g. + PIRIDOXINA 0.006 g. + GLUCOSA ANHIDRA 5.024 g. + ACIDO ASCORBICO 0.012 g.,TIAMINA CLORHIDRATO + CLORURO DE POTASIO + Nicotinamida + CITRATO TRISODICO DIHIDRATADO  + CLORURO DE SODIO + Riboflavina + PIRIDOXINA + GLUCOSA ANHIDRA + ACIDO ASCORBICO,0.006 g. + 0.375 g. + 0.015 g. + 0.725 g. + 0.875 g. + 0.001 g. + 0.006 g. + 5.024 g. + 0.012 g.,GRANULADO,LABORATORIO ANCALMO,0.02,0.02,0.39,8.38,$0.39 - $8.38
6436,"DOCEPLEX 10,000 D.A. SOLUCION INYECTABLE",A,1972/03/07,6436,"DOCEPLEX 10,000 D.A. SOLUCION INYECTABLE",A,VITAMINA B12  10 mcg. + VITAMINA B1 100 mg. + VITAMINA B6 100 mg.,VITAMINA B12  + VITAMINA B1 + VITAMINA B6,10 mcg. + 100 mg. + 100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,2.59,2.59,5.17,5.17,$5.17 - $5.17
6497,AMPICILINA MK 500 mg CAPSULA,A,1972/03/21,6497,AMPICILINA MK 500 mg CAPSULA,A,AMPICILINA TRIHIDRATO 574.712 mg.,AMPICILINA TRIHIDRATO,574.712 mg.,CAPSULA,"CORPORACION BONIMA, S.A. DE C.V.",0.25,0.25,12.26,12.26,$12.26 - $12.26
6501,"NEOBES CAPSULAS DE LIBERACION PROLONGADA, 75 mg",A,1972/04/25,6501,"NEOBES CAPSULAS DE LIBERACION PROLONGADA, 75 mg",A,ANFEPRAMONA 75 mg.,ANFEPRAMONA,75 mg.,CAPSULA DE LIBERACIÓN PROLONGADA,"PRODUCTOS MEDIX, S.A. DE C.V.",1.67,1.67,50.05,50.05,$50.05 - $50.05
6536,PAXIUM SOLUCION INYECTABLE,A,1972/05/23,6536,PAXIUM SOLUCION INYECTABLE,A,DIAZEPAM  10 mg.,DIAZEPAM ,10 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,1.71,1.71,3.42,3.42,$3.42 - $3.42
6537,DIPIRONA VIJOSA 0.5g/mL SOLUCION INYECTABLE,A,1972/05/23,6537,DIPIRONA VIJOSA 0.5g/mL SOLUCION INYECTABLE,A,Metamizol sódico 1 g.,Metamizol sódico,1 g.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.71,0.71,0.5,26.42,$0.50 - $26.42
6539,"DOCEPLEX 25,000 D.A. SOLUCIÓN INYECTABLE",A,1972/05/23,6539,"DOCEPLEX 25,000 D.A. SOLUCIÓN INYECTABLE",A,VITAMINA B12 (CIANOCOBALAMINA) 5000 mcg. + VITAMINA B12a (HIDROXICOBALAMINA) 20000 mcg. + VITAMINA B1 (TIAMINA HCl) 100 mg. + VITAMINA B6 (PIRIDOXINA HCL) 100 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B12a (HIDROXICOBALAMINA) + VITAMINA B1 (TIAMINA HCl) + VITAMINA B6 (PIRIDOXINA HCL),5000 mcg. + 20000 mcg. + 100 mg. + 100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,3.85,3.85,7.71,7.71,$7.71 - $7.71
6638,AGUA ESTÉRIL PARA INYECCIÓN  VIJOSA ,A,1972/07/18,6638,AGUA DESTILADA PARA SOLUCION INYECTABLE  VIJOSA ,A,Agua estéril para inyección 1 mL,Agua estéril para inyección,1 mL,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.04,0.04,0.45,5.67,$0.45 - $5.67
6639,ATROPINA SULFATO VIJOSA 1mg/mL SOLUCION INYECTABLE,A,1972/07/18,6639,ATROPINA SULFATO VIJOSA 1mg/mL SOLUCION INYECTABLE,A,ATROPINA SULFATO 1 mg.,ATROPINA SULFATO,1 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
6640,"ATROPINA SULFATO VIJOSA 5mg/mL SOLUCION INYECTABLE
",A,1972/07/18,6640,"ATROPINA SULFATO VIJOSA 5mg/mL SOLUCION INYECTABLE
",A,SULFATO DE ATROPINA 5 mg.,SULFATO DE ATROPINA,5 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
6641,ATROPINA SULFATO VIJOSA 0.6mg/mL SOLUCION INYECTABLE,A,1972/07/18,6641,ATROPINA SULFATO VIJOSA 0.6mg/mL SOLUCION INYECTABLE,A,SULFATO DE ATROPINA 0.25 mg.,SULFATO DE ATROPINA,0.25 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
6643,BICARBONATO DE SODIO 7.5% VIJOSA SOLUCION INYECTABLE,A,1972/07/18,6643,BICARBONATO DE SODIO 7.5% VIJOSA SOLUCION INYECTABLE,A,BICARBONATO DE SODIO 75 mg.,BICARBONATO DE SODIO,75 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.4,0.4,19.86,19.86,$19.86 - $19.86
6645,HIGAVIT 5 SOLUCION INYECTABLE,A,1972/07/18,6645,HIGAVIT 5 SOLUCION INYECTABLE,A,Hierro amoniacal citrato 5 mg. + CIANOCOBALAMINA 5 mcg. + EXTRACTO DE HIGADO 14.3 mg. + NIACINAMIDA 23 mg.,Hierro amoniacal citrato + CIANOCOBALAMINA + EXTRACTO DE HIGADO + NIACINAMIDA,5 mg. + 5 mcg. + 14.3 mg. + 23 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.13,0.13,2.36,16.72,$2.36 - $16.72
6658,PARASITIN-3 NIÑOS 50 mg TABLETAS RECUBIERTAS,A,1972/07/18,6658,PARASITIN-3 NIÑOS 50 mg TABLETAS RECUBIERTAS,A,Levamisol clorhidrato 50 mg.,Levamisol clorhidrato,50 mg.,TABLETA RECUBIERTA,"LABORATORIOS ARSAL, S.A. DE C.V.",0.12,0.12,5.92,5.92,$5.92 - $5.92
6660,PARASITIN -3  ADULTOS 150 mg TABLETAS  RECUBIERTAS ,A,1972/07/18,6660,PARASITIN -3  ADULTOS 150 mg TABLETAS  RECUBIERTAS ,A,Levamisol clorhidrato 150 mg.,Levamisol clorhidrato,150 mg.,TABLETAS RECUBIERTAS,"LABORATORIOS ARSAL, S.A. DE C.V.",0.03,0.03,1,1,$1.00 - $1.00
6667,FORTIPLEX  SOLUCION  INYECTABLE,A,1972/08/15,6667,FORTIPLEX  SOLUCION  INYECTABLE,A,VITAMINA B12 (CIANOCOBALAMINA) 20 mcg. + VITAMINA B1 (TIAMINA HCl) 20 mg. + VITAMINA B6 (PIRIDOXIDINA HCl) 2 mg. + VITAMINA B2 (RIBOFLAVINA SODIO 5´FOSFATO) 2 mg. + VITAMINA B3 (NIACINAMIDA) 100 mg. + VITAMINA B5 (PANTENOL) 2 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B1 (TIAMINA HCl) + VITAMINA B6 (PIRIDOXIDINA HCl) + VITAMINA B2 (RIBOFLAVINA SODIO 5´FOSFATO) + VITAMINA B3 (NIACINAMIDA) + VITAMINA B5 (PANTENOL),20 mcg. + 20 mg. + 2 mg. + 2 mg. + 100 mg. + 2 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.11,0.11,1.98,2.24,$1.98 - $2.24
6669,HEMOBEX SOLUCION INYECTABLE,A,1972/08/15,6669,HEMOBEX SOLUCION INYECTABLE,A,Hierro amoniacal citrato 5 mg. + VITAMINA B12 (CIANOCOBALAMINA) 5 mcg. + EXTRACTO DE HIGADO 14.3 mg. + VITAMINA B3 (NIACINAMIDA) 23 mg.,Hierro amoniacal citrato + VITAMINA B12 (CIANOCOBALAMINA) + EXTRACTO DE HIGADO + VITAMINA B3 (NIACINAMIDA),5 mg. + 5 mcg. + 14.3 mg. + 23 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.12,0.12,2.35,2.41,$2.35 - $2.41
6738,ACTIVAROL C-100 AMPOLLAS BEBIBLES SOLUCION ORAL,A,1972/10/03,6738,ACTIVAROL C-100 AMPOLLAS BEBIBLES SOLUCION ORAL,A,HEMATOPORFIRINA 0.003 mg. + Glicina 0.25 g. + ACIDO ASCORBICO 0.1 g.,HEMATOPORFIRINA + Glicina + ACIDO ASCORBICO,0.003 mg. + 0.25 g. + 0.1 g.,SOLUCION ORAL,"FARMACEUTICA RODIM, S.A. DE C.V.",,,,,
6739,ACTIVAROL C-500 AMPOLLAS BEBIBLES SOLUCION,A,1972/10/03,6739,ACTIVAROL C-500 AMPOLLAS BEBIBLES SOLUCION,A,HEMATOPORFIRINA 0.006 g. + GLICOL 0.5 g. + EXTRACTO AMINICO DE LEVADURA  0.1 g. + ACIDO ASCORBICO 0.5 g.,HEMATOPORFIRINA + GLICOL + EXTRACTO AMINICO DE LEVADURA  + ACIDO ASCORBICO,0.006 g. + 0.5 g. + 0.1 g. + 0.5 g.,SOLUCION,"FARMACEUTICA RODIM, S.A. DE C.V.",,,28.82,28.82,$28.82 - $28.82
6775,CLORURO DE POTASIO VIJOSA 2mEq/mL SOLUCION INYECTABLE,A,1972/10/03,6775,CLORURO DE POTASIO VIJOSA 2mEq/mL SOLUCION INYECTABLE,A,CLORURO DE POTASIO 0.1491 g.,CLORURO DE POTASIO,0.1491 g.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.11,0.11,0.55,30.69,$0.55 - $30.69
6776,COBALEX 1000mcg/mL SOLUCION INYECTABLE,A,1972/10/03,6776,COBALEX 1000mcg/mL SOLUCION INYECTABLE,A,Cianocobalamina 1000 mcg.,Cianocobalamina,1000 mcg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.66,0.66,2.22,2.78,$2.22 - $2.78
6777,SOLU K 10 SOLUCION INYECTABLE,A,1972/10/03,6777,SOLU K 10 SOLUCION INYECTABLE,A,Menadiona bisulfito sódico 10 mg.,Menadiona bisulfito sódico,10 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
6778,TIAMINA 100 mg/mL VIJOSA SOLUCION INYECTABLE,A,1972/10/03,6778,TIAMINA 100 mg/mL VIJOSA SOLUCION INYECTABLE,A,TIAMINA CLORHIDRATO 100 mg.,TIAMINA CLORHIDRATO,100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.11,0.11,2.14,2.18,$2.14 - $2.18
6788,TONICON B-12 ELIXIR,A,1972/10/26,,,,,,,,,0.02,0.02,3.43,3.71,$3.43 - $3.71
6816,ULTRA CLEAR,A,1972/11/14,6816,ULTRA CLEAR,A,NAFAZOLINA CLORHIDRATO 1 mg.,NAFAZOLINA CLORHIDRATO,1 mg.,SOLUCION OFTALMICA,LABORATORIOS LAFAR,0.31,0.31,4.66,4.66,$4.66 - $4.66
6819,ALIN 4 mg SOLUCIÓN INYECTABLE,A,1972/11/14,6819,ALIN 4 mg SOLUCIÓN INYECTABLE,A,DEXAMETASONA FOSFATO SODICO 4 mg.,DEXAMETASONA FOSFATO SODICO,4 mg.,SOLUCION INYECTABLE,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",4.93,4.93,6.28,6.73,$6.28 - $6.73
6839,NOVOMIT-T  50 mg TABLETAS,A,1972/11/14,6839,NOVOMIT-T  50 mg TABLETAS,A,Dimenhidrinato 50 mg.,Dimenhidrinato,50 mg.,TABLETA,LABORATORIOS COFASA,0.26,0.26,8.46,26.72,$8.46 - $26.72
6850,CALAMINA ROSADA 8/8 g SUSPENSION TOPICA,A,1972/12/05,6850,CALAMINA ROSADA 8/8 g SUSPENSION TOPICA,A,OXIDO DE ZINC 8 g. + Calamina 8 g.,OXIDO DE ZINC + Calamina,8 g. + 8 g.,SUSPENSION TOPICA,LABORATORIO ANCALMO,0.02,0.02,2.63,2.63,$2.63 - $2.63
6872,ATROPINA SULFATO VIJOSA 0.50 mg/mL  SOLUCION INYECTABLE,A,1972/12/05,6872,ATROPINA SULFATO VIJOSA 0.50 mg/mL  SOLUCION INYECTABLE,A,SULFATO DE ATROPINA 0.5 mg.,SULFATO DE ATROPINA,0.5 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
6874,DEXTROSA VIJOSA 50% SOLUCION INYECTABLE,A,1972/12/05,6874,DEXTROSA VIJOSA 50% SOLUCION INYECTABLE,A,DEXTROSA 0.5 g.,DEXTROSA,0.5 g.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.08,0.08,6.69,7.46,$6.69 - $7.46
6875,"NERVIDOCE 25,000 D.A. SOLUCIÓN INYECTABLE",A,1973/12/05,6875,"NERVIDOCE 25,000 D.A. SOLUCIÓN INYECTABLE",A,VITAMINA B12 (CIANOCOBALAMINA) 5000 mcg. + VITAMINA B12a (HIDROXICOBALAMINA) 20000 mcg. + VITAMINA B1 (TIAMINA HCl) 100 mg. + VITAMINA B6 (PIRIDOXIDINA HCl) 100 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B12a (HIDROXICOBALAMINA) + VITAMINA B1 (TIAMINA HCl) + VITAMINA B6 (PIRIDOXIDINA HCl),5000 mcg. + 20000 mcg. + 100 mg. + 100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,3.16,3.16,6.32,6.32,$6.32 - $6.32
6878,SULFATO DE MAGNESIO VIJOSA 50% SOLUCION INYECTABLE,A,1972/12/05,6878,SULFATO DE MAGNESIO VIJOSA 50% SOLUCION INYECTABLE,A,SULFATO DE MAGNESIO HEPTAHIDRATADO 500 mg.,SULFATO DE MAGNESIO HEPTAHIDRATADO,500 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,2.49,2.49,$2.49 - $2.49
6933,INMUNO C,A,1973/01/24,6933,INMUNO C,A,Hierro amoniacal citrato 525 mg. + Ácido ascórbico (Vitamina C) 2.5 g. + Cianocobalamina 125 mcg. + ZINC ELEMENTAL 15 mg. + Riboflavina 30 mg. + PIRIDOXINA 30 mg. + VITAMINA B1 30 mg. + VITAMINA B5 (PANTOTENATO DE CALCIO) 50 mg. + NIACINAMIDA 150 mg.,Hierro amoniacal citrato + Ácido ascórbico (Vitamina C) + Cianocobalamina + ZINC ELEMENTAL + Riboflavina + PIRIDOXINA + VITAMINA B1 + VITAMINA B5 (PANTOTENATO DE CALCIO) + NIACINAMIDA,525 mg. + 2.5 g. + 125 mcg. + 15 mg. + 30 mg. + 30 mg. + 30 mg. + 50 mg. + 150 mg.,JARABE,LABORATORIOS PHARMATOR,0.04,0.04,10,10,$10.00 - $10.00
6937,SESORAL TABLETAS,A,1973/01/24,6937,SESORAL TABLETAS,A,CAFEINA 30 mg. + Tiamina 200 mg. + INOSITO HEXA FOSFATO DE CALCIO Y MAGNESIO 270 mg.,CAFEINA + Tiamina + INOSITO HEXA FOSFATO DE CALCIO Y MAGNESIO,30 mg. + 200 mg. + 270 mg.,TABLETA,LABORATORIOS PHARMATOR,,,,,
6940,APETOL 4 mg TABLETAS,A,1972/10/24,,,,,,,,,0.2,0.2,6.09,6.09,$6.09 - $6.09
6948,DEPO-PROVERA 150 mg/mL SUSPENSION ACUOSA ESTÉRIL,A,1973/02/21,6948,DEPO-PROVERA 150 mg/mL SUSPENSION ACUOSA ESTÉRIL,A,ACETATO DE MEDROXIPROGESTERONA 150 mg.,ACETATO DE MEDROXIPROGESTERONA,150 mg.,SUSPENSION INYECTABLE,PFIZER MANUFACTURING BELGIUM N.V.,11.4,11.4,11.4,11.4,$11.40 - $11.40
6991,ALDOMET 500 mg TABLETAS RECUBIERTAS,A,1973/03/29,6991,ALDOMET 500 mg TABLETAS RECUBIERTAS,A,Metildopa 566 mg.,Metildopa,566 mg.,TABLETAS RECUBIERTAS,ASPEN PORT ELIZABETH (PTY) LTD.,0.55,0.55,16.58,16.58,$16.58 - $16.58
7011,PROCTO GLYVENOL   5% - 2.12%  CREMA,A,1973/04/02,7011,PROCTO GLYVENOL   5% - 2.12%  CREMA,A,TRIBENÓSIDO  5 g. + CLORHIDRATO DE LIDOCAINA 2.12 g.,TRIBENÓSIDO  + CLORHIDRATO DE LIDOCAINA,5 g. + 2.12 g.,CREMA,GSK CONSUMER HEALTHCARE S.A.,0.5,0.5,14.16,15.54,$14.16 - $15.54
7012,PROCTO GLYVENOL  400 mg - 40 mg  SUPOSITORIOS,A,1973/03/21,7012,PROCTO GLYVENOL  400 mg - 40 mg  SUPOSITORIOS,A,TRIBENÓSIDO  400 mg. + Lidocaína 40 mg.,TRIBENÓSIDO  + Lidocaína,400 mg. + 40 mg.,SUPOSITORIO,DELPHARM HUNINGUE SAS,1.62,1.62,8.1,8.1,$8.10 - $8.10
7029,DEXAMETAN 1 mg / mL SUSPENSION OFTALMICA,A,1973/03/21,7029,DEXAMETAN 1 mg / mL SUSPENSION OFTALMICA,A,Dexametasona 0.1 mg.,Dexametasona,0.1 mg.,SUSPENSION OFTALMICA,LABORATORIOS LAFAR,,,,,
7059,FROT UNGUENTO,A,1973/03/21,7059,FROT UNGUENTO,A,Mentol 7 g. + CAPSAICINA (EXTRACTO CAPSICO) 0.7 g. + ALCANFOR 7 g. + EUCALIPTOL 5 g.,Mentol + CAPSAICINA (EXTRACTO CAPSICO) + ALCANFOR + EUCALIPTOL,7 g. + 0.7 g. + 7 g. + 5 g.,UNGUENTO,"LABORATORIOS SUIZOS, S.A. DE C.V.",,,,,
7069,CLO-PRIM  2 mg/mL SOLUCION ORAL,A,1973/04/04,7069,CLO-PRIM  2 mg/mL SOLUCION ORAL,A,METOCLOPRAMIDA 2 mg.,METOCLOPRAMIDA,2 mg.,SOLUCION ORAL,"LABORATORIOS ARSAL, S.A. DE C.V.",0.4,0.4,5.95,5.95,$5.95 - $5.95
7071,GARGANTINAS DELTA CARAMELOS,A,1973/04/04,7071,GARGANTINAS DELTA CARAMELOS,A,DEXTROMETORFANO HBr 1 mg. + BROMURO DE CETILPIRIDINIO 0.5 mg. + TERPINA MONOHIDRATADA 0.1 g. + GOMENOL 0.012 g. + EUCALIPTOL 0.012 g. + Benzocaína 2 mg. + ESENCIA DE MENTA 6.5 mg. + Mentol 1 mg.,DEXTROMETORFANO HBr + BROMURO DE CETILPIRIDINIO + TERPINA MONOHIDRATADA + GOMENOL + EUCALIPTOL + Benzocaína + ESENCIA DE MENTA + Mentol,1 mg. + 0.5 mg. + 0.1 g. + 0.012 g. + 0.012 g. + 2 mg. + 6.5 mg. + 1 mg.,CARAMELOS,"LABORATORIOS ARSAL, S.A. DE C.V.",1.12,1.12,1.44,31.25,$1.44 - $31.25
7077,AZOCAR 500 mg TABLETAS,A,1973/03/07,7077,AZOCAR 500 mg TABLETAS,A,Ácido acetilsalicílico 500 mg.,Ácido acetilsalicílico,500 mg.,TABLETAS,LABORATORIOS PHARMATOR,0.12,0.12,11.87,11.87,$11.87 - $11.87
7081,CLORURO DE POTASIO VIJOSA 4 mEq/mL SOLUCION INYECTABLE,A,1973/03/21,7081,CLORURO DE POTASIO VIJOSA 4 mEq/mL SOLUCION INYECTABLE,A,CLORURO DE POTASIO 298.2 mg.,CLORURO DE POTASIO,298.2 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.14,0.14,1.42,1.42,$1.42 - $1.42
7082,CLORURO DE SODIO VIJOSA 20% SOLUCION INYECTABLE,A,1973/04/25,7082,CLORURO DE SODIO VIJOSA 20% SOLUCION INYECTABLE,A,CLORURO DE SODIO 200 mg.,CLORURO DE SODIO,200 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,0.12,0.12,1.57,73,$1.57 - $73.00
7083,"NEUROTROPAS 10,000 D.A. SOLUCIÓN INYECTABLE",A,1973/04/25,7083,"NEUROTROPAS 10,000 D.A. SOLUCIÓN INYECTABLE",A,VITAMINA B12 (CIANOCOBALAMINA) 10000 mcg. + VITAMINA B1 (TIAMINA HCl) 100 mg. + VITAMINA B6 (PIRIDOXIDINA HCl) 100 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B1 (TIAMINA HCl) + VITAMINA B6 (PIRIDOXIDINA HCl),10000 mcg. + 100 mg. + 100 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,5.46,5.46,5.46,5.46,$5.46 - $5.46
7085,ERGONOVINA MALEATO VIJOSA 0.2mg/mL SOLUCION INYECTABLE,A,1973/04/25,7085,ERGONOVINA MALEATO VIJOSA 0.2mg/mL SOLUCION INYECTABLE,A,ERGONOVINA MALEATO 0.2 mg.,ERGONOVINA MALEATO,0.2 mg.,SOLUCION INYECTABLE,LABORATORIOS VIJOSA,,,,,
